"measure","max_push_pop","nb_threads","non_blocking","try","thread","global_start_sec","global_start_nsec","global_stop_sec","global_stop_nsec","thread_start_sec","thread_start_nsec","thread_stop_sec","thread_stop_nsec"
1,500000,6,1,2,0,1294,984985997,1295,42692799,1294,985048652,1295,35423963
1,500000,6,1,2,1,1294,984985997,1295,42692799,1294,985057942,1295,13676615
1,500000,6,1,2,2,1294,984985997,1295,42692799,1294,985071213,1295,37588863
1,500000,6,1,2,3,1294,984985997,1295,42692799,1294,987814533,1295,32149860
1,500000,6,1,2,4,1294,984985997,1295,42692799,1295,3754145,1295,42633986
1,500000,6,1,2,5,1294,984985997,1295,42692799,1295,11757304,1295,42068419
1,500000,6,1,3,0,1295,144246404,1295,201297660,1295,144308779,1295,175180427
1,500000,6,1,3,1,1295,144246404,1295,201297660,1295,144318279,1295,201242549
1,500000,6,1,3,2,1295,144246404,1295,201297660,1295,144334903,1295,186561341
1,500000,6,1,3,3,1295,144246404,1295,201297660,1295,152015360,1295,201173329
1,500000,6,1,3,4,1295,144246404,1295,201297660,1295,152035406,1295,190770091
1,500000,6,1,3,5,1295,144246404,1295,201297660,1295,172012008,1295,197404417
1,500000,6,2,1,0,1295,322911302,1295,417337066,1295,322972490,1295,417297811
1,500000,6,2,1,1,1295,322911302,1295,417337066,1295,322981640,1295,411918182
1,500000,6,2,1,2,1295,322911302,1295,417337066,1295,322994772,1295,416409891
1,500000,6,2,1,3,1295,322911302,1295,417337066,1295,323002036,1295,417016250
1,500000,6,2,1,4,1295,322911302,1295,417337066,1295,323087741,1295,416439717
1,500000,6,2,1,5,1295,322911302,1295,417337066,1295,323090744,1295,417285658
1,500000,6,2,2,0,1295,526427415,1295,618742413,1295,526484621,1295,618669560
1,500000,6,2,2,1,1295,526427415,1295,618742413,1295,526495448,1295,618710911
1,500000,6,2,2,2,1295,526427415,1295,618742413,1295,526509976,1295,618210443
1,500000,6,2,2,3,1295,526427415,1295,618742413,1295,526545460,1295,616871508
1,500000,6,2,2,4,1295,526427415,1295,618742413,1295,526567462,1295,617829906
1,500000,6,2,2,5,1295,526427415,1295,618742413,1295,526576193,1295,618203807
1,500000,6,2,3,0,1295,726668518,1295,820245827,1295,726728100,1295,819549852
1,500000,6,2,3,1,1295,726668518,1295,820245827,1295,726737390,1295,819841541
1,500000,6,2,3,2,1295,726668518,1295,820245827,1295,726750801,1295,820212370
1,500000,6,2,3,3,1295,726668518,1295,820245827,1295,726799835,1295,810224524
1,500000,6,2,3,4,1295,726668518,1295,820245827,1295,726822256,1295,820214046
1,500000,6,2,3,5,1295,726668518,1295,820245827,1295,726855295,1295,819402052
2,500000,1,0,1,0,1295,931582240,1295,947351346,1295,931641891,1295,947287853
2,500000,1,0,2,0,1296,10591007,1296,26370380,1296,10653801,1296,26311637
2,500000,1,0,3,0,1296,89472020,1296,105202849,1296,89533417,1296,105138867
2,500000,1,1,1,0,1296,180277086,1296,192808059,1296,180338483,1296,192745894
2,500000,1,1,2,0,1296,255032725,1296,267435386,1296,255097056,1296,267369099
2,500000,1,1,3,0,1296,336277263,1296,348711286,1296,336337473,1296,348650867
2,500000,1,2,1,0,1296,427252460,1296,444644641,1296,427313857,1296,444583174
2,500000,1,2,2,0,1296,506250166,1296,523604070,1296,506312681,1296,523546305
2,500000,1,2,3,0,1296,586904899,1296,604664556,1296,586965807,1296,604598339
2,500000,2,0,1,0,1296,688830806,1296,751151025,1296,688893740,1296,750956915
2,500000,2,0,1,1,1296,688830806,1296,751151025,1296,688903239,1296,751112888
2,500000,2,0,2,0,1296,820897516,1296,882238593,1296,820959612,1296,882198081
2,500000,2,0,2,1,1296,820897516,1296,882238593,1296,820969112,1296,881643201
2,500000,2,0,3,0,1296,955450571,1297,17198378,1296,955512527,1297,16814907
2,500000,2,0,3,1,1296,955450571,1297,17198378,1296,955521677,1297,17160101
2,500000,2,1,1,0,1297,105268207,1297,145093289,1297,105330861,1297,144746559
2,500000,2,1,1,1,1297,105268207,1297,145093289,1297,105340361,1297,145050821
2,500000,2,1,2,0,1297,219450701,1297,260707046,1297,219511959,1297,260509094
2,500000,2,1,2,1,1297,219450701,1297,260707046,1297,219532634,1297,260671074
2,500000,2,1,3,0,1297,328835535,1297,368356483,1297,328895605,1297,368166983
2,500000,2,1,3,1,1297,328835535,1297,368356483,1297,328905244,1297,368319044
2,500000,2,2,1,0,1297,449290098,1297,535670673,1297,449351844,1297,535628973
2,500000,2,2,1,1,1297,449290098,1297,535670673,1297,449361693,1297,535408739
2,500000,2,2,2,0,1297,608173242,1297,687168549,1297,608237293,1297,685893456
2,500000,2,2,2,1,1297,608173242,1297,687168549,1297,608247072,1297,687133345
2,500000,2,2,3,0,1297,762372455,1297,838092685,1297,762435249,1297,838054548
2,500000,2,2,3,1,1297,762372455,1297,838092685,1297,762444749,1297,836013911
2,500000,3,0,1,0,1297,921925241,1297,967896668,1297,921987755,1297,967854759
2,500000,3,0,1,1,1297,921925241,1297,967896668,1297,921996137,1297,967695922
2,500000,3,0,1,2,1297,921925241,1297,967896668,1297,922009409,1297,963596418
2,500000,3,0,2,0,1298,45499816,1298,89831680,1298,45564147,1298,89795847
2,500000,3,0,2,1,1298,45499816,1298,89831680,1298,45573297,1298,89588256
2,500000,3,0,2,2,1298,45499816,1298,89831680,1298,45586638,1298,85791966
2,500000,3,0,3,0,1298,162228985,1298,206969032,1298,162290173,1298,206927682
2,500000,3,0,3,1,1298,162228985,1298,206969032,1298,162299533,1298,204549186
2,500000,3,0,3,2,1298,162228985,1298,206969032,1298,162313293,1298,206835830
2,500000,3,1,1,0,1298,294141527,1298,337820220,1298,294204112,1298,337781174
2,500000,3,1,1,1,1298,294141527,1298,337820220,1298,294213053,1298,335911528
2,500000,3,1,1,2,1298,294141527,1298,337820220,1298,294226254,1298,337530277
2,500000,3,1,2,0,1298,408099266,1298,454471961,1298,408161781,1298,454430401
2,500000,3,1,2,1,1298,408099266,1298,454471961,1298,408177916,1298,452105410
2,500000,3,1,2,2,1298,408099266,1298,454471961,1298,408178824,1298,454165534
2,500000,3,1,3,0,1298,526441560,1298,572323218,1298,526504983,1298,572285360
2,500000,3,1,3,1,1298,526441560,1298,572323218,1298,526514134,1298,568655731
2,500000,3,1,3,2,1298,526441560,1298,572323218,1298,526506450,1298,572107036
2,500000,3,2,1,0,1298,659196341,1298,723419346,1298,659259345,1298,722070982
2,500000,3,2,1,1,1298,659196341,1298,723419346,1298,659269193,1298,721692960
2,500000,3,2,1,2,1298,659196341,1298,723419346,1298,659282534,1298,723384701
2,500000,3,2,2,0,1298,794212899,1298,853464407,1298,794276392,1298,850244442
2,500000,3,2,2,1,1298,794212899,1298,853464407,1298,794285612,1298,852094950
2,500000,3,2,2,2,1298,794212899,1298,853464407,1298,794280163,1298,853431578
2,500000,3,2,3,0,1298,925828793,1298,987608902,1298,925893124,1298,986840424
2,500000,3,2,3,1,1298,925828793,1298,987608902,1298,925901994,1298,987595211
2,500000,3,2,3,2,1298,925828793,1298,987608902,1298,925915266,1298,982079452
2,500000,4,0,1,0,1299,79019201,1299,133077791,1299,79083322,1299,132753553
2,500000,4,0,1,1,1299,79019201,1299,133077791,1299,79092402,1299,133053135
2,500000,4,0,1,2,1299,79019201,1299,133077791,1299,79105743,1299,132603867
2,500000,4,0,1,3,1299,79019201,1299,133077791,1299,79138293,1299,132832273
2,500000,4,0,2,0,1299,221687479,1299,273588840,1299,221750692,1299,272879524
2,500000,4,0,2,1,1299,221687479,1299,273588840,1299,221758934,1299,270436908
2,500000,4,0,2,2,1299,221687479,1299,273588840,1299,221774091,1299,273575987
2,500000,4,0,2,3,1299,221687479,1299,273588840,1299,221779749,1299,273474008
2,500000,4,0,3,0,1299,352452642,1299,405929515,1299,352515576,1299,405017009
2,500000,4,0,3,1,1299,352452642,1299,405929515,1299,352531502,1299,405876849
