"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
4,decreasing,524288,123456,1,drake,2,14.044595
4,constant,32768,123456,1,parallel,1,0.466135
4,constant,32768,123456,1,parallel,2,0.683557
4,constant,32768,123456,1,drake,1,0.221893
4,constant,32768,123456,1,drake,2,0.214349
4,constant,131072,123456,1,parallel,1,2.758534
4,constant,131072,123456,1,parallel,2,2.360357
4,constant,131072,123456,1,drake,1,0.769185
4,constant,131072,123456,1,drake,2,0.767859
4,constant,524288,123456,1,parallel,1,6.099073
4,constant,524288,123456,1,parallel,2,10.700843
4,constant,524288,123456,1,drake,1,2.878525
4,constant,524288,123456,1,drake,2,2.889001
